Pile,Simple_key,Family,Scientific_Name,Taxonomic_Authority,habit_nm,habit_nm_litsrc,roots_nm,roots_nm_litsrc,laticifers_nm,laticifers_nm_litsrc,flowering_stem_habit_nm,flowering_stem_habit_nm_litsrc,flowering_stem_form_nm,flowering_stem_form_nm_litsrc,underground_organs_nm,underground_organs_nm_litsrc,odor_nm,odor_nm_litsrc,axillary_bulblets_nm,axillary_bulblets_nm_litsrc,flowering_stem_interior_nm,flowering_stem_interior_nm_litsrc,flowering_stem_width_min_nm,flowering_stem_width_max_nm,flowering_stem_width_nm_litsrc,stem_indument_nm,stem_indument_nm_litsrc,leaf_arrangement_nm,leaf_arrangement_nm_litsrc,leaf_type_nm,leaf_type_nm_litsrc,leaflet_number_min_nm,leaflet_number_max_nm,leaflet_number_nm_litsrc,leaf_blade_nm,leaf_blade_nm_litsrc,leaf_lobes_general_nm,leaf_lobes_general_nm_litsrc,leaf_blade_veins_nm,leaf_blade_veins_nm_litsrc,leaf_blade_length_min_nm,leaf_blade_length_max_nm,leaf_blade_length_nm_litsrc,leaf_blade_width_min_nm,leaf_blade_width_max_nm,leaf_blade_width_nm_litrsrc,leaf_blade_cross-section_nm,leaf_blade_cross-section_nm_litsrc,leaf_blade_shape_nm,leaf_blade_shape_nm_litsrc,leaf_blade_apex_nm,leaf_blade_apex_nm_litsrc,leaf_blade_base_shape_nm,leaf_blade_base_shape_nm_litsrc,leaf_blade_adaxial_indument_nm,leaf_blade_adaxial_indument_nm_litsrc,leaf_blade_abaxial_indument_nm,leaf_blade_abaxial_indument_nm_litsrc,leaf_blade_bloom_nm,leaf_blade_bloom_nm_litsrc,stipules_nm,stipules_nm_litsrc,stipule_form_nm,stipule_form_nm_litsrc,leaf_blade_base_nm,leaf_blade_base_nm_litsrc,petiole_length_min_nm,petiole_length_max_nm,petiole_length_nm_litsrc,leaf_orientation_nm,leaf_orientation_nm_litsrc,leaf_faces_nm,leaf_faces_nm_litsrc,leaf_blade_coloration_nm,leaf_blade_coloration_nm_litsrc
Non-orchid Monocots,TRUE,Liliaceae,Streptopus amplexifolius,(L.) DC.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,rhizomes,41,,,absent,41,,,,,,pubescent,41,alternate,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,50,150,41,25,60,41,,,"oblong, lanceolate, ovate",41,acuminate,41,cordate or sagittate,41,,,,,,,,,,,clasping or perfoliate,41,,,,1652,44,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Liliaceae,Streptopus lanceolatus,(Ait.) Reveal,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,rhizomes,41,,,absent,41,,,,,,pubescent,44,alternate,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,50,100,41,20,45,41,,,"elliptic, ovate",41,"acute, acuminate",41,rounded,41,,,,,,,,,,,sessile,41,,,,1652,44,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Araceae,Symplocarpus foetidus,(L.) Salisb. ex Nutt.,perennial,42,1628,42,"present (i.e., sap milky)",42,upright,42,scapose,42,"roots, rhizomes",42,"fresh foliage with a malodorous odor (e.g., carion)",44,absent,42,,,,,,glabrous,45,basal,42,simple,42,,,,"present (i.e., leaf with expanded blade)",42,"without basal lobes, with basal lobes",44,with pinnately or palmately branched lateral veins,44,100,600,42,70,400,42,flat,44,"oblong, ovate",42,"obtuse, acute",42,"rounded, cordate or sagittate",44,,,,,,,,,,,petiolate,,50,570,42,,,bifacial,44,"adaxial surface lacking spots, mottles, and stripes",42
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium cernuum,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"roots, rhizomes",41,fresh plants without one of the mentioned odors,41,absent,41,,,,,,glabrous,41,whorled,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with pinnately or palmately branched lateral veins,41,50,150,41,60,150,41,,,"ovate, rhombic",41,acuminate,41,cuneate or narrow,41,,,,,,,,,,,"petiolate, sessile",41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium erectum,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"roots, rhizomes",41,"fresh foliage with a malodorous odor (e.g., carion)",41,absent,41,,,,,,glabrous,41,whorled,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with pinnately or palmately branched lateral veins,41,50,200,41,50,200,41,,,"ovate, rhombic",41,acuminate,41,cuneate or narrow,41,,,,,,,,,,,sessile,41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium grandiflorum,(Michx.) Salisb.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"roots, rhizomes",41,fresh plants without one of the mentioned odors,41,absent,41,,,,,,glabrous,41,whorled,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with pinnately or palmately branched lateral veins,41,120,200,41,80,150,41,,,"ovate, rhombic",41,acuminate,41,cuneate or narrow,46,,,,,,,,,,,sessile,41,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium undulatum,Willd.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,scapose,41,"roots, rhizomes",41,,,absent,41,,,,,,glabrous,41,whorled,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with pinnately or palmately branched lateral veins,41,120,180,41,80,200,41,,,ovate,41,acuminate,41,rounded,41,,,,,,,,,,,petiolate,41,4,17,41,,,,,"adaxial surface lacking spots, mottles, and stripes",44
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia grandiflora,J.E. Sm.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,"roots, rhizomes",41,,,absent,41,,,,,,glabrous,41,alternate,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,60,135,41,20,65,41,semiciruclar to terete,44,"oblong, elliptic, ovate",41,acute,41,,,,,pubescent,41,,,,,,,clasping or perfoliate,41,,,,1652,44,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia perfoliata,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,"roots, rhizomes",41,,,absent,41,,,,,,glabrous,41,alternate,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,40,200,41,15,60,41,semiciruclar to terete,44,"oblong, ovate",41,"acute, acuminate",41,,,,,glabrous or essentially so,41,1725,41,,,,,clasping or perfoliate,41,,,,1652,44,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia sessilifolia,L.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,"roots, rhizomes",41,,,absent,41,,,,,,glabrous,41,alternate,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,44,40,80,41,13,40,41,"channelled (i.e., U-shaped)",44,elliptic,41,"acute, acuminate",41,cuneate or narrow,46,,,glabrous or essentially so,41,1725,46,present,46,,,sessile,41,,,,1652,44,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Melanthiaceae,Veratrum viride,Ait.,perennial,41,1628,41,"absent (i.e., sap nmtery)",41,upright,41,with at least one well-formed leaf produced above the base,41,"roots, rhizomes, tubers, bulbs, or corms",41,,,,,hollow,41,,,,"glabrous, pubescent",41,alternate,41,simple,41,,,,"present (i.e., leaf with expanded blade)",41,without basal lobes,41,with parallel or arcuate lateral veins,41,150,250,41,100,180,41,,,"elliptic, lanceolate, ovate",41,,,,,"1646, 1723",41,"glabrous or essentially so, pubescent",41,,,,,,,"sessile, clasping or perfoliate",46,,,,,,,,"adaxial surface lacking spots, mottles, and stripes",41
Non-orchid Monocots,TRUE,Xyridaceae,Xyris montana,Ries,perennial,42,1628,42,"absent (i.e., sap nmtery)",42,upright,42,with at least one well-formed leaf produced above the base,42,roots,45,,,absent,45,,,0.25,1,42,,,alternate,42,simple,42,,,,"present (i.e., leaf with expanded blade)",42,without basal lobes,42,with parallel or arcuate lateral veins,42,,,,0.8,3,42,"flat, semiciruclar to terete",42,linear,42,,,,,1646,42,glabrous or essentially so,42,,,,,,,,,,,,1729,42,unifacial,42,"adaxial surface lacking spots, mottles, and stripes",42
