Pile,Simple_key,Family,Scientific_Name,Taxonomic_Authority,perianth_description_nm,perianth_description_nm_litsrc,flower_symmetry_nm,flower_symmetry_nm_litsrc,flower_orientation_nm,flower_orientation_nm_litsrc,perianth_number_nm,perianth_number_nm_litsrc,perianth_shape_nm,perianth_shape_nm_litsrc,perianth_fusion_nm,perianth_fusion_nm_litsrc,tepals_nm,tepals_nm_litsrc,sepal_number_nm,sepal_number_nm_litsrc,sepal_appearance_nm,sepal_appearance_nm_litsrc,sepal_length_min_nm,sepal_length_max_nm,sepal_length_nm_litsrc,sepal_fusion_nm,sepal_fusion_nm_litsrc,sepal_orientation_nm,sepal_orientation_nm_litsrc,petal_number_nm,petal_number_nm_litsrc,petal_appearance_nm,petal_appearance_nm_litsrc,petal_color_nm,petal_color_nm_litsrc,petal_spots_or_streaks_nm,petal_spots_or_streaks_nm_litsrc,petal_length_min_nm,petal_length_max_nm,petal_length_nm_litsrc,petals_fringed_on_margin_nm,petals_fringed_on_margin_nm_litsrc,petals_pubescent_on_adaxial_surface_nm,petals_pubescent_on_adaxial_surface_nm_litsrc,petal_base_nm,petal_base_nm_litsrc,petal_nectaries_nm,petal_nectaries_nm_litsrc,stamen_number_nm,stamen_number_nm_litsrc,stamen_length_min_nm,stamen_length_max_nm,stamen_length_nm_litsrc,stamen_fusion_outside_cycle_nm,stamen_fusion_outside_cycle_nm_litsrc,stamen_morphology_nm,stamen_morphology_nm_litsrc,anther_length_min_nm,anther_length_max_nm,anther_length_nm_litsrc,anther_color_nm,anther_color_nm_litsrc,anther_attachment_nm,anther_attachment_nm_litsrc,filament_surface_nm,filament_surface_nm_litsrc,stamen_fusion_within_cycle_nm,stamen_fusion_within_cycle_nm_litsrc,stamen_fusion_outside_of_cycle,stamen_fusion_outside_of_cycle_litsrc,stamen_position_nm,stamen_position_nm_litsrc,pistil_number_nm,pistil_number_nm_litsrc,carpel_number_min_nm,carpel_number_max_nm,carpel_number_nm_litsrc,carpel_fusion_nm,carpel_fusion_nm_litsrc,style_number_min_nm,style_number_max_nm,style_number_nm_litsrc,style_length_min_nm,style_length_max_nm,style_length_nm_litsrc,style_morphology_nm,style_morphology_nm_litsrc,style_form_nm,style_form_nm_litsrc,ovary_position_nm,ovary_position_nm_litsrc,nectary_spur_nm,nectary_spur_nm_litsrc,spur_length_nm,spur_length_nm_litsrc,flowers_replaced_by_bulblets_nm,flowers_replaced_by_bulblets_nm_litsrc
Non-orchid Monocots,TRUE,Araceae,Symplocarpus foetidus,(L.) Salisb. ex Nutt.,,,,,,,four,42,,,distinct,46,,,,,,,,,,,,,,,,,,"pink to red, yellow, blue to purple",42,absent,42,,,,,,,,,,,,1815,42,,,,free,45,,,,,,,,,,,,distinct,45,free,45,,,1,42,1,,44,,,1,,42,,,,,,,,superior,46,,,,,1772,44
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium cernuum,L.,dichlamydeous,41,actinomorphic,46,drooping or nodding,41,six,41,,,distinct,46,perianth members with outer cycle of different color than inner cycle,41,3,41,sepaloid,41,9,30,41,distinct,41,ascending to spreading,41,3,41,petaloid,41,white,41,absent,41,15,25,41,no,41,,,not narrowed to an obvious claw,41,,,1843,41,6,15,41,,,monomorphic within the cycle,41,2,6.5,41,non-anthocyanic,41,basifixed,46,,,distinct,41,,,,,,,3,3,41,,,0,0,41,,,,,,,,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium erectum,L.,dichlamydeous,41,actinomorphic,46,erect to spreading,41,six,41,rotate,41,distinct,46,perianth members with outer cycle of different color than inner cycle,41,3,41,sepaloid,41,10,50,41,distinct,41,ascending to spreading,41,3,41,petaloid,41,"white, pink to red, yellow, green to brown, blue to purple",41,absent,41,15,50,41,no,41,,,not narrowed to an obvious claw,41,,,1843,41,5,15,41,,,monomorphic within the cycle,41,5,12,41,anthocyanic,41,basifixed,46,,,distinct,41,,,,,,,3,3,41,,,0,,41,,,,,,,,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium grandiflorum,(Michx.) Salisb.,dichlamydeous,41,actinomorphic,46,erect to spreading,41,six,41,funnelform,41,distinct,46,perianth members with outer cycle of different color than inner cycle,41,3,41,sepaloid,41,20,55,41,distinct,41,ascending to spreading,41,3,41,petaloid,41,"white, pink to red",41,absent,41,40,75,41,no,41,,,not narrowed to an obvious claw,41,,,1843,41,9,27,41,,,monomorphic within the cycle,41,5,16,41,non-anthocyanic,41,basifixed,46,,,distinct,41,,,,,,,3,3,41,,,1,1,41,0.5,2,41,,,1817,41,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Melanthiaceae,Trillium undulatum,Willd.,dichlamydeous,41,actinomorphic,46,erect to spreading,41,six,41,,,distinct,46,perianth members with outer cycle of different color than inner cycle,41,3,41,sepaloid,41,13,37,41,distinct,41,ascending to spreading,41,3,41,petaloid,41,white,41,present,41,20,50,41,no,41,,,not narrowed to an obvious claw,41,,,1843,41,8,12,41,,,monomorphic within the cycle,41,2,7,41,non-anthocyanic,41,basifixed,46,,,distinct,41,,,,,,,3,3,41,,,0,0,41,,,,,,,,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia grandiflora,J.E. Sm.,,,actinomorphic,44,drooping or nodding,41,six,46,campanulate,41,distinct,41,perianth members essentially colored alike,41,,,petaloid,44,20,50,41,distinct,41,,,,,petaloid,44,yellow,41,absent,41,25,50,41,no,41,no,41,,,petals with one or more nectaries,41,1843,44,10,25,41,free,44,dimorphic as to length and/or width within the cycle,41,8,20,41,,,,,smooth,41,connate,41,free,44,,,1,41,3,3,41,1766,41,1,1,41,8,12,41,1691,41,1798,41,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia perfoliata,L.,,,actinomorphic,44,drooping or nodding,46,six,46,campanulate,41,distinct,41,perianth members essentially colored alike,41,,,petaloid,44,15,35,41,distinct,41,,,,,petaloid,44,yellow,41,absent,41,15,35,41,no,41,yes,41,,,petals with one or more nectaries,41,1843,44,10,15,41,free,44,dimorphic as to length and/or width within the cycle,41,6,10,41,,,,,smooth,41,connate,41,free,44,,,1,41,3,3,41,1766,41,1,1,41,8,10,41,1691,41,1798,41,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Colchicaceae,Uvularia sessilifolia,L.,,,actinomorphic,44,drooping or nodding,46,six,46,campanulate,41,distinct,41,perianth members essentially colored alike,41,,,petaloid,44,13,25,41,distinct,41,,,,,petaloid,44,yellow,41,absent,41,13,25,41,no,41,no,41,,,petals with one or more nectaries,41,1843,44,8,15,41,free,44,dimorphic as to length and/or width within the cycle,41,5,12,41,,,,,smooth,41,connate,41,free,44,,,1,41,3,3,41,1766,41,1,1,41,10,15,41,1691,41,1798,41,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Melanthiaceae,Veratrum viride,Ait.,,,actinomorphic,46,erect to spreading,41,six,41,"rotate, campanulate",41,distinct,46,perianth members essentially colored alike,41,,,petaloid,41,6,10,41,,,"erect to appressed, ascending to spreading",41,,,petaloid,41,"yellow, green to brown",41,absent,41,6,10,41,,,yes,41,abruptly narrowed to a claw,41,petals with one or more nectaries,44,1843,41,,,,free,41,,,,,,,,basifixed,44,,,distinct,41,free,41,,,,,3,3,41,,,3,3,41,,,,1691,41,,,superior,41,,,,,1772,44
Non-orchid Monocots,TRUE,Xyridaceae,Xyris montana,Ries,dichlamydeous,42,actinomorphic,42,,,six,42,,,,,,,3,42,,,4.3,4.7,42,distinct,42,,,3,42,,,"white, yellow",42,absent,42,3,4,42,,,,,abruptly narrowed to a claw,42,,,1796,42,,,,"adnate (i.e., epipetalous or epitepalous)",42,,,,,,,,,,,,,,adnate,42,,,1,42,3,3,42,1766,42,3,3,42,,,,1691,42,1817,42,superior,42,,,,,1772,44
